State_Name,State_District_Name,Population_Rural,Population_Urban,Children Received Polio Birth Rural,Children Received Polio Birth Urban,Children Did Not Receive Any Vaccination Rural,Children Did Not Receive Any Vaccination Urban,Children Received Measles Vaccine Rural,Children Received Measles Vaccine Urban,Children Fully Immunized Rural,Children Fully Immunized Urban,Children Received Bcg Rural,Children Received Bcg Urban,Diarrhoea Dysentery Male Rural,Diarrhoea Dysentery Male Urban,Diarrhoea Dysentery Female Rural,Diarrhoea Dysentery Female Urban,Respiratory Infection Male Rural,Respiratory Infection Male Urban,Respiratory Infection Female Rural,Respiratory Infection Female Urban,Fever Male Rural,Fever Male Urban,Fever Femal Rural,Fever FemaleUrban,Acute Illness Male Rural,Acute Illness Male Urban,Acute Illnes Female Rural,Acute Illness Female Urban,Acute Illness And Treatment From Any Source Rural,Acute Illness And Taking Treatment From Any Source Urban,Acute Illness And Taking Treatment From Any Source Male Rural,Acute Illness And Taking  Treatment From Any Source  Male Urban,Acute Illness And Taking Treatment From Any Source Female Rural,Acute Illness And Taking Treatment From Any Source Female Urban,Acute Illness And Taking Treatment From Government Source Person Rural,Acute Illness And Taking Treatment From Government Person Urban,Acute Illness And Taking Treatment From Government Male Rural,Acute Illness And Taking Treatment From Government Sourc Male Urban,Acute Illness An Taking Treatment From Governmen FemaleRural,Acute Illness And Taking Treatment From Government Female Urban,Women Aware Of Hiv And Aids Rural,Womene Aware Of Hiv And Aids Urban,Women Aware Of Rti And Sti Rural,Women Aware Of Rti And Sti Urban,Women Aware Of Haf Ors And Ort And Zinc And Rural,Women Aware Of Haf Ors And Ort And Zinc And Urban,Women Aware Of Ari And  Pneumonia Rural,Women Aware Of Ari And  Pneumonia Urban
Uttar Pradesh,Chandauli,84197,8192,81.79,79.2,9.12,12.4,65.95,62,60.36,58.4,84.43,80.4,685.37,285.34,846.86,165.29,10010.48,12658.88,9941.3,14986.23,7370.52,622.57,7577.34,1239.67,18787.97,13800.26,19147.11,16611.57,99.77,99.74,99.91,99.62,99.63,99.83,8.32,14.4,8.14,16.23,8.49,12.79,86.94,96.26,96.27,99,98.82,99.75,96.54,98
Uttar Pradesh,Chitrakoot,81889,6943,76.85,79.64,5.73,0.6,61.59,74.25,47.15,62.28,91.96,98.8,682.71,174.37,677.39,33.33,162.85,552.17,160.56,200,1930.32,1162.45,2780.37,1566.67,3073.26,2034.29,4019.54,1966.67,99.11,100,98.98,100,99.22,100,13.77,15.5,12.79,15.71,14.56,15.25,50.64,75.59,70.64,69.68,88.38,93.01,99.71,100
Uttar Pradesh,Deoria,60464,5450,65.47,59.12,8.27,6.08,71.3,61.33,67.15,58.56,86.68,88.4,765.39,542.57,824.18,420.33,6348.96,8263.77,5933.72,7718.76,878.61,751.25,990.22,1260.99,8262.65,9599.33,7977.62,9552.92,98.65,98.75,98.68,99.13,98.63,98.4,2.1,3.16,1.81,3.51,2.35,2.85,82.41,89.43,98.41,99.07,99.83,99.88,92.48,91.75
Uttar Pradesh,Etah,47323,5621,64.94,79.47,3.12,2.28,53.46,76.05,36.96,60.08,87.75,93.16,438.03,619.83,426.12,311.89,22363.33,22830.58,24938.43,25497.08,2670.44,2169.42,2892.14,2923.98,25791.16,26239.67,28866.85,29317.74,92.6,96.43,92.8,96.46,92.41,96.41,3.22,5.68,3,5.58,3.44,5.79,34.99,87.29,45.97,69.48,98.82,99.17,97.15,96.67
Uttar Pradesh,Etawah,61926,14867,78.15,80.63,8.13,3.15,72.69,90.32,54.6,74.32,90.93,93.02,675.99,285.42,612.03,225.67,900.91,1024.91,909.88,1098.24,1773.11,1491.96,2526.64,2121.26,3417.58,2841.2,4264.24,4077.03,95.96,99.18,97.64,99.09,94.34,99.26,8.94,11.93,7.23,10.6,10.64,13.01,74.35,91.08,73.62,77.43,99.07,99.02,96.47,98.53
Uttar Pradesh,Faizabad,55957,6262,79.8,81.87,6.9,4.4,70.57,74.73,65.67,72.53,86.6,87.36,914.69,592.54,897.9,617.52,6590.78,3834.09,6705.41,4399.85,1446.02,522.83,1766.03,501.74,9363.71,5123.74,9902.18,5789.27,98.97,99.66,98.72,99.32,99.2,100,4.31,7.09,4.97,7.53,3.72,6.67,77.49,95.41,93.89,97.94,98.94,100,95.77,97.82
Uttar Pradesh,Farrukhabad,46683,7428,73.58,83.75,13.97,10.47,55.66,71.12,40.81,55.6,81.82,89.53,900.2,654.62,1205.99,700.73,1679.78,1413.98,1684.05,1459.85,2643.18,968.84,4538.43,1284.67,5319.82,3168.37,7631.43,3708.03,100,100,100,100,100,100,12.91,4.03,17.12,3.31,9.54,4.72,54.88,90.68,54.21,66.36,96.8,100,87.37,89.12
Uttar Pradesh,Fatehpur,54916,5293,68.07,77.91,6.04,3.07,70.4,73.62,50.4,62.58,90.87,93.25,282.59,77.58,289.99,43.73,1942.89,1396.43,2576.21,1617.84,2720.78,1318.85,3690.84,1792.74,6046.58,4034.13,7180.08,7127.24,91.72,94.38,90.89,94.23,92.47,94.48,13.85,47.22,15.45,56.12,12.43,41.56,88.57,97.66,65.24,96.06,99.41,97.66,95.71,99.71
Uttar Pradesh,Firozabad,48676,13897,72.81,73.52,3.21,2.67,66.94,68.76,54.95,59.43,90.84,90.29,216.7,212.55,217.12,266.12,8845.47,8913.14,8532.27,9611.77,2412.14,2352.27,3442.29,2770.82,11694.58,11789.71,12512.88,12993.11,92.03,93.86,92.46,94.35,91.57,93.37,3.76,4.49,3.11,5.22,4.44,3.74,47.44,66.74,56.87,64.07,96.87,94.43,98.1,96.82
Uttar Pradesh,Gautam Buddha Nagar,67182,22316,66.75,72.19,1.65,1.33,73.7,74.08,58.92,64.29,93,94.88,514.82,336.86,568.45,367.07,11951.07,13450.43,12571.36,13833.25,6082.75,2991.66,7164.32,3639.22,19267.25,17155.92,21129.91,18206.61,95.54,97.65,95.25,97.43,95.85,97.93,2.04,1.93,2.01,1.87,2.08,2,79.65,92.64,94.54,98.83,97.82,99.2,96.66,96.03
